feature,importance_split,sequential_mape_split,k
roll_min_168,9,0.05748566986904894,75
10488_sunshine_duration,9,0.055512506855251616,76
lag_38,9,0.05469485727499349,77
10384_snow_depth,8,0.05557828940499337,78
10131_peak_wind_speed,8,0.053839949238643124,79
grid_load_year_7,8,0.053111176786725466,80
lag_66,8,0.0549808808392258,81
lag_63,8,0.05623857339431265,82
week,7,0.05667797906709587,83
lag_56,6,0.05563397599332221,84
10091_average_wind_speed,6,0.05606784081759581,85
10384_temperature,6,0.05490176187462006,86
lag_14,6,0.055339509083514926,87
lag_39,6,0.05424798642191443,88
10384_sunshine_duration,5,0.05446047684742004,89
forecast_wind_onshore,5,0.054569920295031174,90
lag_41,5,0.055454017330604226,91
lag_18,5,0.0565439355902358,92
lag_69,5,0.05406611301098571,93
grid_load_year_6,4,0.054413219229650756,94
month_sin,4,0.055197113574295964,95
lag_42,4,0.053761637174230575,96
10131_sunshine_duration,3,0.05610495594303372,97
lag_40,3,0.05581591215599615,98
lag_59,3,0.05657556200536497,99
10384_relative_humidity,3,0.05505244344105819,100
10091_dew_point,2,0.05584837291810351,101
10091_temperature,2,0.05374671171072845,102
lag_44,2,0.05541595112810927,103
lag_36,2,0.05158941266751852,104
lag_62,2,0.05536340129648192,105
10131_temperature,2,0.0557307566483606,106
lag_67,2,0.05782390711038223,107
school_holiday,2,0.05546146797123494,108
10554_sunshine_duration,1,0.057133394961412655,109
10131_snow_depth,1,0.05584769307107844,110
day_ahead_price,1,0.053851835863081336,111
lag_37,1,0.05297124546683912,112
lag_57,1,0.05509922691650459,113
lag_58,1,0.05607960611627159,114
10131_dew_point,1,0.05816765762786797,115
lag_65,1,0.05486585334177526,116
roll_std_168,1,0.055824080172236425,117
month,1,0.05426426312416402,118
10131_wind_direction,0,0.05510243758365132,119
10384_peak_wind_speed,0,0.054452460800880634,120
10554_weather_condition_code,0,0.05364843600201998,121
10091_precipitation,0,0.05460535685253226,122
10091_relative_humidity,0,0.05730471918653258,123
10384_weather_condition_code,0,0.05436005223711485,124
forecast_other,0,0.056197301070340794,125
10384_average_sea_level_air_pressure,0,0.054130692794077895,126
10384_dew_point,0,0.05385587355011028,127
10384_average_wind_speed,0,0.05495049386344216,128
10384_wind_direction,0,0.05389241673979386,129
10384_precipitation,0,0.05431404859939767,130
10554_average_sea_level_air_pressure,0,0.05620056274285866,131
roll_mean_72,0,0.0546042237686865,132
lag_64,0,0.054657909820908686,133
lag_61,0,0.054511159207662536,134
10091_snow_depth,0,0.05570860147645665,135
10554_peak_wind_speed,0,0.05453196862378004,136
10131_average_wind_speed,0,0.055568389520581796,137
10488_average_wind_speed,0,0.05565224547780127,138
10131_precipitation,0,0.05513171790571762,139
10131_average_sea_level_air_pressure,0,0.053834396817604754,140
10131_relative_humidity,0,0.05435754226131747,141
10131_weather_condition_code,0,0.05530185023652764,142
10091_weather_condition_code,0,0.05599167345601018,143
10488_relative_humidity,0,0.05452454111919956,144
10488_precipitation,0,0.05489400553545721,145
10488_snow_depth,0,0.053883952399367184,146
10488_wind_direction,0,0.05560944824641641,147
10488_peak_wind_speed,0,0.053585272520424096,148
10554_average_wind_speed,0,0.05596200627052778,149
10488_average_sea_level_air_pressure,0,0.05637128969636185,150
10091_average_sea_level_air_pressure,0,0.05705150085727642,151
10488_weather_condition_code,0,0.05491320015222876,152
10091_wind_direction,0,0.05374760430202891,153
10554_dew_point,0,0.053391653129093,154
10554_relative_humidity,0,0.054985637541892694,155
10554_precipitation,0,0.055391317635557095,156
10554_snow_depth,0,0.05559826416619954,157
